Body;Emotion
Are losing theirs and blaming it on you,;Beauty / Joy     Vitality
If you can trust yourself when all men doubt you,;Beauty / Joy     Vitality
"But make allowance for their doubting too;";Beauty / Joy     Vitality
If you can wait and not be tired by waiting,;Beauty / Joy     Vitality
Or being lied about, don’t deal in lies,;Beauty / Joy     Vitality
Or being hated, don’t give way to hating,;Beauty / Joy     Vitality
And yet don’t look too good, nor talk too wise:;Beauty / Joy     Vitality
;
"If you can dream—and not make dreams your master;";Beauty / Joy     Vitality
"If you can think—and not make thoughts your aim;";Beauty / Joy     Vitality
If you can meet with Triumph and Disaster;Beauty / Joy     Vitality
"And treat those two impostors just the same;";Beauty / Joy     Vitality
If you can bear to hear the truth you’ve spoken;Beauty / Joy     Vitality
Twisted by knaves to make a trap for fools,;Beauty / Joy     Vitality
Or watch the things you gave your life to, broken,;Beauty / Joy     Vitality
And stoop and build ’em up with worn  out tools:;Beauty / Joy     Vitality
;
If you can make one heap of all your winnings;Beauty / Joy     Vitality
And risk it on one turn of pitch  and  toss,;Beauty / Joy     Vitality
And lose, and start again at your beginnings;Beauty / Joy     Vitality
"And never breathe a word about your loss;";Beauty / Joy     Vitality
If you can force your heart and nerve and sinew;Beauty / Joy     Vitality
To serve your turn long after they are gone,;Beauty / Joy     Vitality
And so hold on when there is nothing in you;Beauty / Joy     Vitality
Except the Will which says to them: ‘Hold on!’;Beauty / Joy     Vitality
;
If you can talk with crowds and keep your virtue,;Awe / Sublime
Or walk with Kings—nor lose the common touch,;Awe / Sublime
If neither foes nor loving friends can hurt you,;Awe / Sublime
"If all men count with you, but none too much;";Awe / Sublime
If you can fill the unforgiving minute;Awe / Sublime
With sixty seconds’ worth of distance run,;Awe / Sublime
Yours is the Earth and everything that’s in it,;Awe / Sublime
And—which is more—you’ll be a Man, my son!;Awe / Sublime
;
;
A Noiseless Patient Spider;
;
A noiseless patient spider ,;Vitality
"I mark ""d where on a little promontory it stood isolated ,";Vitality
"Mark ""d how to explore the vacant vast surrounding ,";Vitality
"It launch ""d forth filament , filament , filament out of itself ,";Vitality
Ever unreeling them , ever tirelessly speeding them .;Vitality
;
And you O my soul where you stand ,;Sadness     Awe / Sublime
Surrounded , detached , in measureless oceans of space ,;Sadness     Awe / Sublime
Ceaselessly musing , venturing , throwing , seeking the spheres to;Sadness     Awe / Sublime
connect them ,;Sadness     Awe / Sublime
"Till the bridge you will need be form ""d , till the ductile anchor hold ,";Sadness     Awe / Sublime
Till the gossamer thread you fling catch somewhere , O my soul .;Sadness     Awe / Sublime
;
;
LONDON;
;
I wandered through each chartered street ,;Nostalgia
Near where the chartered Thames does flow ,;Nostalgia
A mark in every face I meet ,;Nostalgia
Marks of weakness , marks of woe .;Nostalgia
;
In every cry of every man ,;Sadness
"In every infant ""s cry of fear ,";Sadness
In every voice , in every ban ,;Sadness
The mind  forged manacles I hear :;Sadness
;
"How the chimney  sweeper ""s cry";Sadness
Every blackening church appalls ,;Sadness
"And the hapless soldier ""s sigh";Annoyance     Sadness
Runs in blood down palace  walls .;Annoyance     Sadness
;
But most , through midnight streets I hear;Annoyance     Sadness
"How the youthful harlot ""s curse";Annoyance     Sadness
"Blasts the new  born infant ""s tear ,";Annoyance     Sadness
And blights with plagues the marriage  hearse .;Annoyance     Sadness
;
;
The Young Housewife;
;
AT ten A.M. the young housewife;Beauty / Joy     Suspense
moves about in negligee behind;Beauty / Joy     Suspense
"the wooden walls of her husband""s house.";Beauty / Joy     Suspense
I pass solitary in my car.;Beauty / Joy
Then again she comes to the curb;Beauty / Joy
to call the ice  man, fish  man, and stands;Beauty / Joy
shy, uncorseted, tucking in;Beauty / Joy
stray ends of hair, and I compare her;Beauty / Joy     Sadness
to a fallen leaf.;Beauty / Joy     Sadness
The noiseless wheels of my car;Beauty / Joy     Sadness
rush with a crackling sound over;Beauty / Joy     Sadness
dried leaves as I bow and pass smiling.;Beauty / Joy     Sadness
;
;
I wandered lonely as a Cloud;
;
I wandered lonely as a Cloud;Nostalgia     Beauty / Joy
That floats on high over Vales and Hills ,;Nostalgia     Beauty / Joy
When all at once I saw a crowd;Nostalgia     Beauty / Joy
"A host of dancing Daffodills ;";Nostalgia     Beauty / Joy
Along the Lake , beneath the trees ,;Nostalgia     Beauty / Joy
Ten thousand dancing in the breeze .;Nostalgia     Beauty / Joy
;
Continuous as the stars that shine;Nostalgia     Beauty / Joy
And twinkle on the milky way,;Nostalgia     Beauty / Joy
They stretched in never  ending line;Nostalgia     Beauty / Joy
Along the margin of a bay:;Nostalgia     Beauty / Joy
Ten thousand saw I at a glance,;Nostalgia     Beauty / Joy
Tossing their heads in sprightly dance.;Nostalgia     Beauty / Joy
;
The waves beside them danced , but they;Beauty / Joy     Vitality
Outdid the sparkling waves in glee :—;Beauty / Joy     Vitality
A Poet could not but be gay;Beauty / Joy     Vitality
In such a laughing company :;Beauty / Joy     Vitality
I gazed — and gazed — but little thought;Beauty / Joy     Suspense
What wealth the shew to me had brought :;Beauty / Joy     Suspense
;
For oft when on my couch I lie;Nostalgia     Beauty / Joy
In vacant or in pensive mood ,;Nostalgia     Beauty / Joy
They flash upon that inward eye;Nostalgia     Beauty / Joy
Which is the bliss of solitude ,;Nostalgia     Beauty / Joy
And then my heart with pleasure fills ,;Nostalgia     Beauty / Joy
And dances with the Daffodils .;Nostalgia     Beauty / Joy
;Nostalgia     Beauty / Joy
